"","sentimento","term","count"
"1184","text98","realizá-los",1
"1185","text99","realizá-los",1
"1186","text153","realizá-los",1
"1187","text186","realizá-los",1
"1188","text9","pedindo",1
"1189","text51","pedindo",1
"1190","text55","pedindo",1
"1191","text75","pedindo",1
"1192","text93","pedindo",1
"1193","text98","pedindo",1
"1194","text99","pedindo",1
"1195","text153","pedindo",1
"1196","text186","pedindo",1
"1197","text9","nda",1
"1198","text55","nda",1
"1199","text75","nda",1
"1200","text93","nda",1
"1201","text98","nda",1
"1202","text99","nda",1
"1203","text153","nda",1
"1204","text186","nda",1
"1205","text9","possa",1
"1206","text27","possa",1
"1207","text51","possa",1
"1208","text55","possa",1
"1209","text75","possa",1
"1210","text93","possa",1
"1211","text98","possa",1
"1212","text99","possa",1
"1213","text153","possa",1
"1214","text186","possa",1
"1215","text9","fazer",1
"1216","text10","fazer",1
"1217","text20","fazer",1
"1218","text38","fazer",1
"1219","text47","fazer",1
"1220","text51","fazer",1
"1221","text54","fazer",1
"1222","text55","fazer",1
"1223","text75","fazer",1
"1224","text93","fazer",1
"1225","text96","fazer",1
"1226","text98","fazer",1
"1227","text99","fazer",1
"1228","text149","fazer",1
"1229","text153","fazer",1
"1230","text157","fazer",1
"1231","text186","fazer",1
"1232","text10","vamos",4
"1233","text20","vamos",1
"1234","text43","vamos",1
"1235","text62","vamos",1
"1236","text66","vamos",1
"1237","text157","vamos",4
"1238","text184","vamos",1
"1239","text10","dizer",1
"1240","text157","dizer",1
"1241","text10","tudo",2
"1242","text21","tudo",1
"1243","text82","tudo",1
"1244","text133","tudo",1
"1245","text157","tudo",2
"1246","text10","acontecendo",1
"1247","text15","acontecendo",1
"1248","text157","acontecendo",1
"1249","text10","país",1
"1250","text157","país",1
"1251","text180","país",1
"1252","text10","culpa",2
"1253","text20","culpa",1
"1254","text157","culpa",2
"1255","text10","tal",2
"1256","text53","tal",1
"1257","text157","tal",2
"1258","text10","crise",2
"1259","text20","crise",1
"1260","text30","crise",1
"1261","text51","crise",2
"1262","text55","crise",2
"1263","text75","crise",2
"1264","text98","crise",2
"1265","text99","crise",2
"1266","text153","crise",2
"1267","text157","crise",2
"1268","text186","crise",2
"1269","text10","econômica",2
"1270","text20","econômica",1
"1271","text157","econômica",2
"1272","text10","ponto",1
"1273","text21","ponto",1
"1274","text26","ponto",1
"1275","text157","ponto",1
"1276","text10","representam",1
"1277","text157","representam",1
"1278","text10","parlamentos",1
"1279","text157","parlamentos",1
"1280","text10","federais",1
"1281","text157","federais",1
"1282","text10","baianos",3
"1283","text20","baianos",1
"1284","text53","baianos",1
"1285","text72","baianos",1
"1286","text76","baianos",1
"1287","text146","baianos",1
"1288","text157","baianos",3
"1289","text10","cobrando",1
"1290","text30","cobrando",1
"1291","text157","cobrando",1
"1292","text10","propicie",1
"1293","text157","propicie",1
"1294","text10","vivem",1
"1295","text35","vivem",1
"1296","text157","vivem",1
"1297","text10","municípios",1
"1298","text18","municípios",1
"1299","text52","municípios",1
"1300","text80","municípios",1
"1301","text157","municípios",1
"1302","text180","municípios",1
"1303","text10","segurança",4
"1304","text15","segurança",1
"1305","text17","segurança",1
"1306","text18","segurança",1
"1307","text27","segurança",1
"1308","text29","segurança",1
"1309","text30","segurança",2
"1310","text35","segurança",1
"1311","text43","segurança",1
"1312","text44","segurança",1
"1313","text51","segurança",1
"1314","text53","segurança",3
"1315","text55","segurança",1
"1316","text59","segurança",1
"1317","text64","segurança",1
"1318","text66","segurança",1
"1319","text67","segurança",1
"1320","text75","segurança",1
"1321","text76","segurança",2
"1322","text94","segurança",1
"1323","text96","segurança",3
"1324","text97","segurança",1
"1325","text98","segurança",1
"1326","text99","segurança",1
"1327","text153","segurança",1
"1328","text157","segurança",4
"1329","text180","segurança",1
"1330","text186","segurança",1
"1331","text10","acha",1
"1332","text87","acha",1
"1333","text157","acha",1
"1334","text10","dois",1
"1335","text17","dois",1
"1336","text18","dois",1
"1337","text29","dois",1
"1338","text47","dois",2
"1339","text94","dois",1
"1340","text97","dois",1
"1341","text157","dois",1
"1342","text10","soldados",1
"1343","text51","soldados",1
"1344","text55","soldados",1
"1345","text75","soldados",1
"1346","text98","soldados",1
"1347","text99","soldados",1
"1348","text107","soldados",1
"1349","text153","soldados",1
"1350","text157","soldados",1
"1351","text180","soldados",1
"1352","text186","soldados",1
"1353","text10","suficientes",1
"1354","text157","suficientes",1
"1355","text10","suporte",1
"1356","text157","suporte",1
"1357","text10","claro",1
"1358","text24","claro",1
"1359","text157","claro",1
"1360","text10","cada",1
"1361","text18","cada",1
"1362","text20","cada",1
"1363","text22","cada",1
"1364","text30","cada",1
"1365","text62","cada",1
"1366","text63","cada",1
"1367","text66","cada",1
"1368","text157","cada",1
"1369","text10","índice",1
"1370","text157","índice",1
"1371","text10","criminalidade",1
"1372","text157","criminalidade",1
"1373","text10","cidades",2
"1374","text30","cidades",1
"1375","text157","cidades",2
"1376","text10","aumentam",1
"1377","text157","aumentam",1
"1378","text10","homicídios",1
"1379","text30","homicídios",2
"1380","text157","homicídios",1
"1381","text10","latrocínios",1
"1382","text157","latrocínios",1
"1383","text10","duplicam",1
"1384","text157","duplicam",1
"1385","text10","âmbito",1
"1386","text157","âmbito",1
"1387","text10","social",1
"1388","text24","social",1
"1389","text157","social",1
"1390","text10","jogado",1
"1391","text157","jogado",1
"1392","text10","traças",1
"1393","text157","traças",1
"1394","text10","secretário",1
"1395","text157","secretário",1
"1396","text10","pública",1
"1397","text17","pública",1
"1398","text51","pública",1
"1399","text53","pública",2
"1400","text55","pública",1
"1401","text76","pública",1
"1402","text94","pública",1
"1403","text96","pública",3
"1404","text97","pública",1
"1405","text157","pública",1
"1406","text10","visita",1
"1407","text157","visita",1
"1408","text10","nada",1
"1409","text19","nada",2
"1410","text47","nada",1
"1411","text51","nada",1
"1412","text157","nada",1
"1413","text10","resolve",1
"1414","text157","resolve",1
"1415","text10","gabinetes",1
"1416","text157","gabinetes",1
"1417","text10","ouvir",1
"1418","text157","ouvir",1
"1419","text10","plano",1
"1420","text157","plano",1
"1421","text10","governo",1
"1422","text17","governo",1
"1423","text30","governo",1
"1424","text94","governo",1
"1425","text97","governo",1
"1426","text128","governo",1
"1427","text157","governo",1
"1428","text10","aumentar",1
"1429","text20","aumentar",1
"1430","text25","aumentar",1
"1431","text40","aumentar",1
"1432","text157","aumentar",1
"1433","text10","montante",1
"1434","text157","montante",1
"1435","text10","ano",2
"1436","text12","ano",1
"1437","text14","ano",1
"1438","text15","ano",1
"1439","text16","ano",1
"1440","text49","ano",1
"1441","text60","ano",1
"1442","text69","ano",1
"1443","text70","ano",1
"1444","text157","ano",2
"1445","text10","vem",1
"1446","text13","vem",1
"1447","text22","vem",1
"1448","text27","vem",1
"1449","text63","vem",1
"1450","text66","vem",2
"1451","text69","vem",1
"1452","text157","vem",1
"1453","text10","aberto",1
"1454","text157","aberto",1
"1455","text10","novo",1
"1456","text157","novo",1
"1457","text10","afinal",1
"1458","text157","afinal",1
"1459","text184","afinal",1
"1460","text10","eleição",1
"1461","text14","eleição",1
"1462","text53","eleição",1
"1463","text157","eleição",1
"1464","text10","pode",1
"1465","text17","pode",1
"1466","text19","pode",1
"1467","text26","pode",1
"1468","text30","pode",1
"1469","text69","pode",1
"1470","text81","pode",1
"1471","text94","pode",1
"1472","text97","pode",1
"1473","text156","pode",1
"1474","text157","pode",1
"1475","text10","acontecer",1
"1476","text157","acontecer",1
"1477","text10","milagres",1
"1478","text157","milagres",1
"1479","text10","impossíveis",1
"1480","text157","impossíveis",1
"1481","text10","realizados",1
"1482","text157","realizados",1
"1483","text10","lema",1
"1484","text157","lema",1
"1485","text10","sendo",1
"1486","text18","sendo",1
"1487","text26","sendo",1
"1488","text30","sendo",1
"1489","text39","sendo",1
"1490","text42","sendo",1
"1491","text87","sendo",1
"1492","text89","sendo",1
"1493","text157","sendo",1
"1494","text10","menos",1
"1495","text17","menos",1
"1496","text24","menos",1
"1497","text26","menos",1
"1498","text31","menos",1
"1499","text37","menos",1
"1500","text52","menos",1
"1501","text60","menos",1
"1502","text70","menos",1
"1503","text80","menos",1
"1504","text87","menos",2
"1505","text94","menos",1
"1506","text97","menos",1
"1507","text157","menos",1
"1508","text184","menos",1
"1509","text10","policial",1
"1510","text18","policial",1
"1511","text146","policial",1
"1512","text157","policial",1
"1513","text10","rua",1
"1514","text39","rua",1
"1515","text85","rua",1
"1516","text157","rua",1
"1517","text10","bandidos",1
"1518","text46","bandidos",1
"1519","text157","bandidos",1
"1520","text10","ação",1
"1521","text157","ação",1
"1522","text10","pensar",1
"1523","text157","pensar",1
"1524","text10","nisto",1
"1525","text157","nisto",1
"1526","text11","déficit",1
"1527","text18","déficit",1
"1528","text37","déficit",1
"1529","text46","déficit",1
"1530","text91","déficit",1
"1531","text11","policiais",1
"1532","text18","policiais",1
"1533","text20","policiais",1
"1534","text25","policiais",1
"1535","text27","policiais",1
"1536","text43","policiais",1
"1537","text45","policiais",1
"1538","text46","policiais",1
"1539","text91","policiais",1
"1540","text184","policiais",1
"1541","text11","convoca",1
"1542","text11","conta",1
"1543","text14","conta",2
"1544","text26","conta",1
"1545","text37","conta",1
"1546","text60","conta",1
"1547","text66","conta",1
"1548","text11","bate",1
"1549","text11","economizar",1
"1550","text11","agora",1
"1551","text16","agora",1
"1552","text18","agora",1
"1553","text30","agora",1
"1554","text53","agora",1
"1555","text62","agora",1
"1556","text70","agora",1
"1557","text11","tarde",1
"1558","text68","tarde",1
"1559","text73","tarde",1
"1560","text11","prejuízo",1
"1561","text11","violência",1
"1562","text18","violência",1
"1563","text57","violência",1
"1564","text11","desenfreada",1
"1565","text11","assola",1
"1566","text11","repense",1
"1567","text18","repense",1
"1568","text44","repense",1
"1569","text12","chegando",1
"1570","text53","chegando",1
"1571","text12","ser",1
"1572","text14","ser",1
"1573","text22","ser",1
"1574","text26","ser",1
"1575","text29","ser",1
"1576","text43","ser",1
"1577","text49","ser",1
"1578","text58","ser",1
"1579","text61","ser",1
"1580","text105","ser",1
"1581","text108","ser",1
"1582","text129","ser",1
"1583","text184","ser",1
"1584","text12","pessoal",1
"1585","text12","tomar",1
"1586","text12","tirei",1
"1587","text12","print",1
"1588","text12","vcs",1
"1589","text12","terem",1
"1590","text26","terem",1
"1591","text12","noção",1
"1592","text12","pm",1
"1593","text13","pm",1
"1594","text18","pm",1
"1595","text27","pm",1
"1596","text37","pm",1
"1597","text78","pm",1
"1598","text13","acho",1
"1599","text58","acho",1
"1600","text13","deveria",1
"1601","text108","deveria",1
"1602","text13","candidatos",1
"1603","text17","candidatos",1
"1604","text23","candidatos",1
"1605","text26","candidatos",1
"1606","text30","candidatos",1
"1607","text31","candidatos",1
"1608","text43","candidatos",2
"1609","text52","candidatos",1
"1610","text80","candidatos",1
"1611","text91","candidatos",1
"1612","text94","candidatos",1
"1613","text97","candidatos",1
"1614","text134","candidatos",1
"1615","text180","candidatos",1
"1616","text13","concursos",1
"1617","text15","concursos",1
"1618","text49","concursos",1
"1619","text13","sempre",1
"1620","text16","sempre",1
"1621","text63","sempre",1
"1622","text13","chamou",1
"1623","text30","chamou",1
"1624","text39","chamou",1
"1625","text13","vezes",1
"1626","text16","vezes",1
"1627","text33","vezes",1
"1628","text70","vezes",1
"1629","text13","quantidade",1
"1630","text21","quantidade",2
"1631","text29","quantidade",1
"1632","text33","quantidade",1
"1633","text39","quantidade",1
"1634","text42","quantidade",1
"1635","text65","quantidade",1
"1636","text70","quantidade",2
"1637","text84","quantidade",1
"1638","text127","quantidade",1
"1639","text184","quantidade",1
"1640","text13","eleições",1
"1641","text53","eleições",2
"1642","text96","eleições",1
"1643","text13","acabar",1
"1644","text13","perdendo",1
"1645","text13","voto",1
"1646","text20","voto",1
"1647","text85","voto",1
"1648","text13","hein",1
"1649","text14","bota",1
"1650","text14","umas",1
"1651","text14","vaguinhaaaas",1
"1652","text14","gente",2
"1653","text15","gente",1
"1654","text30","gente",2
"1655","text67","gente",1
"1656","text91","gente",1
"1657","text14","ficou",2
"1658","text14","dessa",1
"1659","text24","dessa",1
"1660","text14","covardia",1
"1661","text39","covardia",2
"1662","text14","x",1
"1663","text15","x",2
"1664","text49","x",1
"1665","text77","x",1
"1666","text137","x",1
"1667","text14","parecendo",1
"1668","text14","concorrência",1
"1669","text72","concorrência",1
"1670","text14","polícia",1
"1671","text17","polícia",3
"1672","text24","polícia",1
"1673","text31","polícia",1
"1674","text60","polícia",2
"1675","text66","polícia",1
"1676","text73","polícia",1
"1677","text91","polícia",1
"1678","text94","polícia",3
"1679","text97","polícia",3
"1680","text111","polícia",1
"1681","text121","polícia",1
"1682","text149","polícia",2
"1683","text14","rodoviária",1
"1684","text14","federal",1
"1685","text24","federal",1
"1686","text85","federal",1
"1687","text14","idade",1
"1688","text81","idade",1
"1689","text14","pontos",1
"1690","text19","pontos",1
"1691","text156","pontos",1
"1692","text14","redação",1
"1693","text16","redação",2
"1694","text26","redação",1
"1695","text29","redação",1
"1696","text30","redação",2
"1697","text43","redação",1
"1698","text63","redação",1
"1699","text72","redação",1
"1700","text74","redação",2
"1701","text14","desse",1
"1702","text50","desse",1
"1703","text78","desse",1
"1704","text14","ridículo",1
"1705","text61","ridículo",1
"1706","text127","ridículo",1
"1707","text14","virar",1
"1708","text14","porta",1
"1709","text14","ajuda",1
"1710","text14","quer",1
"1711","text37","quer",1
"1712","text52","quer",1
"1713","text80","quer",1
"1714","text14","defender",1
"1715","text68","defender",1
"1716","text15","aumenta",1
"1717","text43","aumenta",1
"1718","text15","corrigidas",1
"1719","text16","corrigidas",1
"1720","text24","corrigidas",2
"1721","text25","corrigidas",1
"1722","text26","corrigidas",2
"1723","text31","corrigidas",1
"1724","text43","corrigidas",1
"1725","text48","corrigidas",1
"1726","text49","corrigidas",1
"1727","text51","corrigidas",1
"1728","text55","corrigidas",1
"1729","text70","corrigidas",1
"1730","text72","corrigidas",1
"1731","text75","corrigidas",1
"1732","text98","corrigidas",1
"1733","text99","corrigidas",1
"1734","text153","corrigidas",1
"1735","text186","corrigidas",1
"1736","text15","problemas",1
"1737","text15","fiscais",1
"1738","text15","torne",1
"1739","text15","complicado",1
"1740","text15","convocação",1
"1741","text25","convocação",1
"1742","text90","convocação",1
"1743","text15","próxinos",1
"1744","text15","daria",1
"1745","text15","chamar",1
"1746","text18","chamar",1
"1747","text28","chamar",1
"1748","text33","chamar",1
"1749","text40","chamar",1
"1750","text52","chamar",1
"1751","text69","chamar",1
"1752","text78","chamar",1
"1753","text80","chamar",1
"1754","text85","chamar",1
"1755","text87","chamar",1
"1756","text15","tranquilamente",1
"1757","text15","pensa",1
"1758","text15","maior",1
"1759","text25","maior",1
"1760","text180","maior",1
"1761","text15","injustiça",1
"1762","text37","injustiça",1
"1763","text15","história",1
"1764","text39","história",1
"1765","text66","história",1
"1766","text15","públicos",1
"1767","text15","pmba",1
"1768","text21","pmba",1
"1769","text36","pmba",1
"1770","text37","pmba",1
"1771","text39","pmba",2
"1772","text49","pmba",1
"1773","text53","pmba",1
"1774","text91","pmba",1
"1775","text95","pmba",1
"1776","text114","pmba",1
"1777","text180","pmba",1
"1778","text15","maiores",1
"1779","text39","maiores",1
"1780","text15","estados",1
"1781","text18","estados",1
"1782","text21","estados",1
"1783","text39","estados",1
"1784","text95","estados",1
"1785","text15","merece",1
"1786","text66","merece",1
"1787","text15","jovem",1
"1788","text15","forte",1
"1789","text67","forte",1
"1790","text72","forte",1
"1791","text15","qualidade",1
"1792","text41","qualidade",2
"1793","text15","mostre",1
"1794","text16","injusto",1
"1795","text72","injusto",1
"1796","text16","todo",1
"1797","text20","todo",1
"1798","text21","todo",1
"1799","text29","todo",1
"1800","text41","todo",1
"1801","text82","todo",1
"1802","text88","todo",1
"1803","text16","corrigiu",1
"1804","text16","correspondente",1
"1805","text16","tomou",1
"1806","text16","nota",1
"1807","text21","nota",1
"1808","text26","nota",1
"1809","text30","nota",1
"1810","text39","nota",1
"1811","text16","altíssima",1
"1812","text16","ter",1
"1813","text17","ter",1
"1814","text19","ter",1
"1815","text22","ter",1
"1816","text30","ter",1
"1817","text31","ter",1
"1818","text33","ter",1
"1819","text38","ter",1
"1820","text43","ter",1
"1821","text94","ter",1
"1822","text97","ter",1
"1823","text114","ter",1
"1824","text156","ter",1
"1825","text16","pessoas",1
"1826","text21","pessoas",1
"1827","text33","pessoas",1
"1828","text38","pessoas",1
"1829","text39","pessoas",3
"1830","text40","pessoas",1
"1831","text72","pessoas",1
"1832","text85","pessoas",1
"1833","text16","obter",1
"1834","text16","exito",1
"1835","text16","próximas",1
"1836","text33","próximas",1
"1837","text96","próximas",1
"1838","text16","etapas",1
"1839","text66","etapas",1
"1840","text91","etapas",1
"1841","text16","ficar",1
"1842","text21","ficar",1
"1843","text22","ficar",1
"1844","text26","ficar",1
"1845","text16","preenchida",1
"1846","text17","interessante",1
"1847","text94","interessante",1
"1848","text97","interessante",1
"1849","text17","viabilizasse",1
"1850","text94","viabilizasse",1
"1851","text97","viabilizasse",1
"1852","text17","aumento",2
"1853","text22","aumento",1
"1854","text24","aumento",1
"1855","text36","aumento",1
"1856","text57","aumento",2
"1857","text94","aumento",2
"1858","text97","aumento",2
"1859","text17","quantitativo",5
"1860","text27","quantitativo",1
"1861","text33","quantitativo",1
"1862","text94","quantitativo",5
"1863","text97","quantitativo",5
"1864","text17","candidatas",3
"1865","text31","candidatas",1
"1866","text94","candidatas",3
"1867","text97","candidatas",3
"1868","text17","sexo",5
"1869","text19","sexo",4
"1870","text22","sexo",2
"1871","text37","sexo",1
"1872","text63","sexo",1
"1873","text68","sexo",1
"1874","text94","sexo",5
"1875","text97","sexo",5
"1876","text156","sexo",4
"1877","text17","feminino",4
"1878","text19","feminino",3
"1879","text22","feminino",1
"1880","text24","feminino",1
"1881","text33","feminino",2
"1882","text70","feminino",1
"1883","text94","feminino",4
"1884","text97","feminino",4
"1885","text156","feminino",3
"1886","text184","feminino",1
"1887","text17","vista",2
"1888","text91","vista",1
"1889","text94","vista",2
"1890","text97","vista",2
"1891","text17","disponibilizado",2
"1892","text94","disponibilizado",2
"1893","text97","disponibilizado",2
"1894","text17","condiz",1
"1895","text94","condiz",1
"1896","text97","condiz",1
"1897","text17","anseios",1
"1898","text94","anseios",1
"1899","text97","anseios",1
"1900","text17","instituição",1
"1901","text94","instituição",1
"1902","text97","instituição",1
"1903","text17","militar",3
"1904","text24","militar",1
"1905","text60","militar",1
"1906","text94","militar",3
"1907","text97","militar",3
"1908","text146","militar",1
"1909","text149","militar",2
"1910","text17","desejo",1
"1911","text94","desejo",1
"1912","text97","desejo",1
"1913","text17","sociedade",1
"1914","text22","sociedade",2
"1915","text53","sociedade",1
"1916","text94","sociedade",1
"1917","text97","sociedade",1
"1918","text17","preciso",2
"1919","text58","preciso",1
"1920","text94","preciso",2
"1921","text97","preciso",2
"1922","text17","mulheres",7
"1923","text22","mulheres",2
"1924","text24","mulheres",4
"1925","text31","mulheres",1
"1926","text33","mulheres",1
"1927","text37","mulheres",5
"1928","text40","mulheres",1
"1929","text61","mulheres",1
"1930","text63","mulheres",2
"1931","text64","mulheres",1
"1932","text65","mulheres",1
"1933","text68","mulheres",1
"1934","text85","mulheres",4
"1935","text87","mulheres",1
"1936","text94","mulheres",7
"1937","text97","mulheres",7
"1938","text17","tratamento",3
"1939","text94","tratamento",3
"1940","text97","tratamento",3
"1941","text17","isonômico",1
"1942","text94","isonômico",1
"1943","text97","isonômico",1
"1944","text17","precisamos",2
"1945","text19","precisamos",1
"1946","text22","precisamos",1
"1947","text24","precisamos",1
"1948","text57","precisamos",1
"1949","text59","precisamos",1
"1950","text94","precisamos",2
"1951","text97","precisamos",2
"1952","text156","precisamos",1
"1953","text17","extirpar",1
"1954","text94","extirpar",1
"1955","text97","extirpar",1
"1956","text17","predileção",1
"1957","text94","predileção",1
"1958","text97","predileção",1
"1959","text17","existente",1
"1960","text94","existente",1
"1961","text97","existente",1
"1962","text17","masculino",2
"1963","text19","masculino",1
"1964","text63","masculino",1
"1965","text94","masculino",2
"1966","text97","masculino",2
"1967","text156","masculino",1
"1968","text184","masculino",1
"1969","text17","detrimento",1
"1970","text94","detrimento",1
"1971","text97","detrimento",1
"1972","text17","inserção",1
"1973","text94","inserção",1
"1974","text97","inserção",1
"1975","text17","instituições",2
"1976","text94","instituições",2
"1977","text97","instituições",2
"1978","text17","militares",2
"1979","text24","militares",1
"1980","text94","militares",2
"1981","text97","militares",2
"1982","text17","ainda",2
"1983","text20","ainda",1
"1984","text52","ainda",1
"1985","text53","ainda",1
"1986","text60","ainda",1
"1987","text63","ainda",1
"1988","text64","ainda",1
"1989","text80","ainda",1
"1990","text94","ainda",2
"1991","text97","ainda",2
"1992","text17","constitui",1
"1993","text94","constitui",1
"1994","text97","constitui",1
"1995","text17","paradigma",1
"1996","text94","paradigma",1
"1997","text97","paradigma",1
"1998","text17","mudar",1
"1999","text94","mudar",1
"2000","text97","mudar",1
"2001","text17","mentalidade",1
"2002","text94","mentalidade",1
"2003","text97","mentalidade",1
"2004","text17","deve",1
"2005","text94","deve",1
"2006","text97","deve",1
"2007","text17","visão",1
"2008","text94","visão",1
"2009","text97","visão",1
"2010","text17","meramente",1
"2011","text94","meramente",1
"2012","text97","meramente",1
"2013","text17","quantitativa",1
"2014","text94","quantitativa",1
"2015","text97","quantitativa",1
"2016","text17","incorporação",1
"2017","text94","incorporação",1
"2018","text97","incorporação",1
"2019","text17","feminina",1
"2020","text94","feminina",1
"2021","text97","feminina",1
"2022","text17","fato",1
"2023","text70","fato",1
"2024","text94","fato",1
"2025","text96","fato",1
"2026","text97","fato",1
"2027","text17","incluir",1
"2028","text94","incluir",1
"2029","text97","incluir",1
"2030","text17","suficiente",1
"2031","text94","suficiente",1
"2032","text96","suficiente",1
"2033","text97","suficiente",1
"2034","text17","tampouco",1
"2035","text94","tampouco",1
"2036","text97","tampouco",1
"2037","text17","satisfatório",1
"2038","text57","satisfatório",1
"2039","text94","satisfatório",1
"2040","text97","satisfatório",1
"2041","text17","levando",1
"2042","text94","levando",1
"2043","text97","levando",1
"2044","text17","consideração",2
"2045","text94","consideração",2
"2046","text97","consideração",2
"2047","text17","contrário",1
"2048","text94","contrário",1
"2049","text97","contrário",1
"2050","text17","reconhecer",1
"2051","text94","reconhecer",1
"2052","text97","reconhecer",1
"2053","text17","igualdade",2
"2054","text19","igualdade",1
"2055","text22","igualdade",1
"2056","text41","igualdade",1
"2057","text68","igualdade",1
"2058","text84","igualdade",1
"2059","text94","igualdade",2
"2060","text95","igualdade",3
"2061","text97","igualdade",2
"2062","text156","igualdade",1
"2063","text17","condições",2
"2064","text23","condições",1
"2065","text51","condições",1
"2066","text55","condições",1
"2067","text75","condições",1
"2068","text94","condições",2
"2069","text97","condições",2
"2070","text98","condições",1
"2071","text99","condições",1
"2072","text153","condições",1
"2073","text186","condições",1
"2074","text17","gêneros",2
"2075","text94","gêneros",2
"2076","text97","gêneros",2
"2077","text17","estipular",1
"2078","text94","estipular",1
"2079","text97","estipular",1
"2080","text17","norma",2
"2081","text94","norma",2
"2082","text97","norma",2
"2083","text17","fere",1
"2084","text94","fere",1
"2085","text97","fere",1
"2086","text17","princípio",2
"2087","text94","princípio",2
"2088","text97","princípio",2
"2089","text17","isonomia",1
"2090","text94","isonomia",1
"2091","text97","isonomia",1
"2092","text17","diz",1
"2093","text22","diz",1
"2094","text62","diz",1
"2095","text85","diz",1
"2096","text94","diz",1
"2097","text97","diz",1
"2098","text17","iguais",1
"2099","text24","iguais",1
"2100","text41","iguais",1
"2101","text68","iguais",1
"2102","text85","iguais",1
"2103","text94","iguais",1
"2104","text97","iguais",1
"2105","text17","perante",1
"2106","text22","perante",1
"2107","text24","perante",1
"2108","text85","perante",1
"2109","text94","perante",1
"2110","text97","perante",1
"2111","text17","lei",1
"2112","text24","lei",1
"2113","text85","lei",1
"2114","text94","lei",1
"2115","text97","lei",1
"2116","text17","distinção",1
"2117","text94","distinção",1
"2118","text95","distinção",1
"2119","text97","distinção",1
"2120","text17","qualquer",3
"2121","text94","qualquer",3
"2122","text97","qualquer",3
"2123","text17","natureza",1
"2124","text94","natureza",1
"2125","text97","natureza",1
"2126","text17","proibição",1
"2127","text94","proibição",1
"2128","text97","proibição",1
"2129","text17","diferença",1
"2130","text24","diferença",1
"2131","text61","diferença",1
"2132","text94","diferença",1
"2133","text97","diferença",1
"2134","text17","critérios",1
"2135","text94","critérios",1
"2136","text97","critérios",1
"2137","text17","admissão",1
"2138","text94","admissão",1
"2139","text97","admissão",1
"2140","text17","motivos",1
"2141","text94","motivos",1
"2142","text97","motivos",1
"2143","text17","posto",1
"2144","text94","posto",1
"2145","text97","posto",1
"2146","text17","violar",1
"2147","text94","violar",1
"2148","text97","violar",1
"2149","text17","direitos",1
"2150","text41","direitos",2
"2151","text63","direitos",2
"2152","text68","direitos",1
"2153","text94","direitos",1
"2154","text97","direitos",1
"2155","text17","humanos",1
"2156","text41","humanos",2
"2157","text94","humanos",1
"2158","text97","humanos",1
"2159","text17","fundamentais",1
"2160","text94","fundamentais",1
"2161","text97","fundamentais",1
"2162","text17","ademais",1
"2163","text70","ademais",1
"2164","text94","ademais",1
"2165","text97","ademais",1
"2166","text17","habilidades",1
"2167","text94","habilidades",1
"2168","text97","habilidades",1
"2169","text17","combate",1
"2170","text94","combate",1
"2171","text97","combate",1
"2172","text17","homens",2
"2173","text24","homens",1
"2174","text37","homens",3
"2175","text63","homens",1
"2176","text68","homens",1
"2177","text84","homens",1
"2178","text85","homens",1
"2179","text87","homens",1
"2180","text94","homens",2
"2181","text95","homens",1
"2182","text97","homens",2
"2183","text180","homens",1
"2184","text17","tão",1
"2185","text21","tão",2
"2186","text30","tão",2
"2187","text39","tão",3
"2188","text50","tão",1
"2189","text57","tão",1
"2190","text94","tão",1
"2191","text95","tão",1
"2192","text97","tão",1
"2193","text17","diferentes",1
"2194","text94","diferentes",1
"2195","text97","diferentes",1
"2196","text17","haveria",1
"2197","text94","haveria",1
"2198","text97","haveria",1
"2199","text17","restrições",1
"2200","text94","restrições",1
"2201","text97","restrições",1
"2202","text17","quanto",1
"2203","text30","quanto",1
"2204","text60","quanto",1
"2205","text85","quanto",1
"2206","text94","quanto",1
"2207","text97","quanto",1
"2208","text17","ingresso",1
"2209","text94","ingresso",1
"2210","text97","ingresso",1
"2211","text17","outros",1
"2212","text18","outros",2
"2213","text21","outros",1
"2214","text39","outros",1
"2215","text49","outros",1
"2216","text66","outros",1
"2217","text94","outros",1
"2218","text97","outros",1
"2219","text17","órgãos",1
"2220","text94","órgãos",1
"2221","text97","órgãos",1
"2222","text17","forma",1
"2223","text94","forma",1
"2224","text97","forma",1
"2225","text17","diferenciado",1
"2226","text94","diferenciado",1
"2227","text97","diferenciado",1
"2228","text17","oferecido",1
"2229","text94","oferecido",1
"2230","text97","oferecido",1
"2231","text17","justifica",1
"2232","text94","justifica",1
"2233","text97","justifica",1
"2234","text17","intenção",1
"2235","text94","intenção",1
"2236","text97","intenção",1
"2237","text17","diminuir",1
"2238","text57","diminuir",1
"2239","text94","diminuir",1
"2240","text97","diminuir",1
"2241","text17","diferenças",1
"2242","text94","diferenças",1
"2243","text97","diferenças",1
"2244","text17","existentes",1
"2245","text94","existentes",1
"2246","text97","existentes",1
"2247","text17","diante",1
"2248","text94","diante",1
"2249","text97","diante",1
"2250","text17","impossibilidade",1
"2251","text94","impossibilidade",1
"2252","text97","impossibilidade",1
"2253","text17","igualitário",1
"2254","text94","igualitário",1
"2255","text97","igualitário",1
"2256","text17","devidamente",1
"2257","text94","devidamente",1
"2258","text97","devidamente",1
"2259","text17","comprovado",1
"2260","text94","comprovado",1
"2261","text97","comprovado",1
"2262","text17","têm",1
"2263","text26","têm",1
